#name "Branch-Return-Bone"
#participants 3
set_dialogue_color 1 0 0.52 0.95
set_dialogue_voice 1 8
set_dialogue_color 3 0 0.52 0.95
set_dialogue_voice 3 8
set_dialogue_color 2 0.52 0.28 1.0
set_dialogue_voice 2 10
set_dialogue_color 4 0.52 0.28 1.0
set_dialogue_voice 4 10
say 1 "Ghost" "Well... [wait 0.05]I brought the book to him."
say 2 "Branch" "Kekeke! [wait 0.1]Tatsur, [wait 0.05]by the look in your eyes I got quite the response from him."
say 1 "Ghost" "He labelled you a 'sweepborn'. [wait 0.05]Then 'lowly scrub'. [wait 0.1]Then he looked right at me and called me 'sootcrawler'."
say 1 "Ghost" "I gotta hand it to 'ya, [wait 0.05]you hooked out a pretty good tantrum."
say 2 "Branch" "There's little valor to be held in tricking a carrier-bird, [wait 0.05]I'm afraid."
say 2 "Branch" "I hear your folk compare yourselves and your affairs to ours, [wait 0.05]and how we seem so much more peaceful... [wait 0.1]Looking around at the state of your home, [wait 0.05]I can finally see why."
say 2 "Branch" "Truthfully, [wait 0.05]those of us in Wynsis have the wisdom to keep our teeth in a row. [wait 0.1]That's how we're not ugly."
say 3 "Ghost" "..."
say 2 "Branch" "Now, [wait 0.05]what you were waiting for... [wait 0.05]Your very own plexicrete bracers."
say 1 "Ghost" "Plexi...[wait 0.05]? [wait 0.1]Never heard of that kinda crete before."
say 2 "Branch" "You certainly wouldn't. [wait 0.1]Not around here."
say 2 "Branch" "The metal holds intricate folds and ripples. [wait 0.1]The finer the forge, [wait 0.05]the stronger those folds become. [wait 0.1]Diverts lots of force, [wait 0.05]keeps it light and sturdy."
say 2 "Branch" "A fine piece of plexicrete can be so beautiful, [wait 0.05]it gets passed from generation to generation."
say 1 "Ghost" "[wait 0.05]This... [wait 0.1]Doesn't look *that* special. [wait 0.05]You sure it's that valuable?"
say 2 "Branch" "Those bracers? [wait 0.1]Kukukuu... [wait 0.05]Not those."
say 2 "Branch" "A slipshod smith hammered it to and fro with no regard for its delicacies. [wait 0.1]That piece is so tarnished, [wait 0.05]it's trash in the eyes of any dog worth their salt."
say 1 "Ghost" "[wait 0.1]Gee, [wait 0.05]thanks."
say 2 "Branch" "Mind you, [wait 0.05]it's still perfectly effective! [wait 0.1]Like I said, [wait 0.05]with those bracers you'll be able to block and deflect weapons with your bare hands. [wait 0.1]Nothing compared to that grey crete armor you cinderians are stuck with."
say 2 "Branch" "You'll surely use them, [wait 0.05]no? [wait 0.05]Or do you require a fine polish on gear before you dare slip your mitts in?"
send_level_message "dialogue_done"
